timewindow,received_packets,IAT_Mean,IAT_Std,IAT_Max,IAT_Min,received_addresses,max_pkt_from_sameId,has_attacker
25200,160,0.0061736693958595905,0.0062840130375106445,0.020490884162427392,0.00016306369070662186,16,10,0
25201,160,0.006173602650434426,0.006281404412149098,0.0204908962805348,0.00016309050624840893,16,10,0
25202,160,0.00617367735079218,0.006282380001577069,0.02049092216475401,0.0001631176819500979,16,10,0
25203,150,0.006587979670947233,0.006285158482245551,0.020490965122007765,0.00020216352277202532,15,10,0
25204,130,0.007607730708098312,0.006212600575623149,0.020491024501097854,0.001200583908939734,13,10,0
25205,120,0.008246986295229622,0.006433155001406857,0.021894911049457733,0.0012076151251676492,12,10,0
25206,207,0.004764032586412284,0.0049415349147814485,0.02335776724066818,0.0001630680744710844,21,10,0
25207,320,0.0031192535933652356,0.0027249850033048257,0.01312400166716543,0.0001631889354030136,32,10,0
25208,301,0.003316816805854614,0.0029564747467938483,0.013124003260600148,0.0001633417487028055,31,10,0
25209,300,0.003315357059500913,0.0027313969432118533,0.013124005559802754,0.0001635019107197877,30,10,0
25210,81,0.012342184932913369,0.006280328718489626,0.026579070512525504,0.0026070006970257964,9,10,0
25211,51,0.019695177384346608,0.006731147775232554,0.026579070759908063,0.006541492650285363,6,10,0
25212,39,0.02547420414837114,0.008201493588835958,0.05856081210731645,0.014970260985137429,4,10,0
25213,20,0.048760915442184534,0.02351597562435282,0.07354893023875775,0.026451702127815224,2,10,0
25214,20,0.048760466311872926,0.023516622190186416,0.07355349540011957,0.026438940134539735,2,10,0
25215,197,0.004879884356972868,0.0017354523602751653,0.02646196511341259,0.0014479550918622408,2,187,1
25216,210,0.0047607333963155096,0.0008047542674206974,0.005162833607755601,0.0014481417274510022,2,200,1
25217,210,0.004760729652887537,0.0008041711892800399,0.0051629182235046756,0.0014483213999483269,2,200,1
25218,1,0.0,0.0,0.0,0.0,1,1,0
25221,10,0.1000002737718104,8.210775309362838e-07,0.10000225514158956,0.09999954206432449,1,10,0
25230,10,0.10000047724881572,5.4046169746731335e-06,0.1000105883613287,0.09999758835692774,1,10,0
25231,10,0.10000053454698193,5.404616974673677e-06,0.10001064566313289,0.09999764565509395,1,10,0
25232,10,0.1000007912577227,4.0835171730882146e-06,0.10001234109950019,0.0999993410987372,1,10,0
25233,241,0.004113523840942435,0.004940845689761912,0.014838506122032413,0.0001560000928293448,3,118,1
25234,271,0.0036935254102529683,0.004085797301975316,0.014835037767625181,0.0001560000964673236,4,129,1
25235,286,0.0034990875714069453,0.003922398589809125,0.014829693878709804,0.000156000089191366,5,132,1
25236,251,0.0039889854640932755,0.001374989589399696,0.005152033660124289,0.00016326888726325706,8,188,1
25237,259,0.0038652707023224377,0.0014110450819742263,0.005012000216083834,0.0008293220635096077,8,190,1
25238,250,0.003995990187539714,0.0013988919817414845,0.00501200022699777,0.0008424232146353461,7,190,1
25239,62,0.016161418672053233,0.015419680552394885,0.03848190238204552,0.001185784742119722,7,10,1
25240,60,0.016652201183221176,0.01544136698423987,0.03848191313954885,0.001710037890006788,6,10,0
25241,70,0.014238810951518235,0.01215403370966386,0.03848192330406164,0.0017100376935559325,7,10,0
25242,276,0.0036142611597394783,0.003622003955577161,0.01713254199057701,0.00015137304217205383,8,136,1
25243,296,0.003380664688289872,0.00359535243718922,0.01713234352428117,0.00015135977810132317,8,124,1
25244,308,0.0032485441608295293,0.003453983233535437,0.01713215364725329,0.00015131037434912287,9,129,1
25245,5,0.0015477299884878448,0.00109522512836462,0.0032050010813691188,0.0001632059174880851,4,2,1
